"","Sector","City","Parent Company","Total_Emissions"
"1","Chemicals","Elma","Ascensus Specialties LLC",194764
"2","Chemicals","Kalama","Emerald Performance Materials LLC",633799
"3","Chemicals","Kennewick","Agrium US Inc.",1480994
"4","Chemicals","Longview","Solvay Chemicals Inc.",481547
"5","Food Production","Chehalis","Darigold Inc.",127698
"6","Food Production","Connell","Lamb Weston, Inc.",360534
"7","Food Production","Kent","Starbucks Corp.",91999
"8","Food Production","Lynden","Darigold Inc.",192674
"9","Food Production","Moses Lake","Basic American Inc.",297911
"10","Food Production","Moses Lake","J.R. Simplot Company",362869
"11","Food Production","Othello","J.R. Simplot Company",962631
"12","Food Production","Othello",NA,751238
"13","Food Production","Pasco","Lamb Weston, Inc.",455933
"14","Food Production","Prosser","Tree Top Inc.",176416
"15","Food Production","Quincy","Lamb Weston, Inc.",367540
"16","Food Production","Richland","Lamb Weston, Inc.",581676
"17","Food Production","Selah","Tree Top Inc.",171843
"18","Food Production","Sunnyside","Darigold Inc.",311049
"19","Food Production","Tacoma","Darling Ingredients Inc.",60486
"20","Food Production","Vancouver","Great Western Malt",174007
"21","Food Production","Vancouver","PepsiCo Inc",156987
"22","Food Production","Wallula","Tyson Foods, Inc",939204
"23","Food Production","Warden","Lamb Weston, Inc.",172630
"24","Food Production","Warden","Washington Potato Co.",288069
"25","Food Production","Wenatchee","Tree Top Inc.",77093
"26","Government","Bremerton","US Government",450254
"27","Government","Ellensburg","State of Washington",133200
"28","Government","Fairchild AFB","US Government",133579
"29","Government","Joint Base Lewis-McChord","US Government",786622
"30","Government","Oak Harbor","US Government",147869
"31","Government","Pullman","State of Washington",607973
"32","Government","Richland","US Government",166463
"33","Government","Seattle","Port of Seattle",146273
"34","Government","Seattle","State of Washington",880670
"35","Government","Silverdale","US Government",212518
"36","Livestock","Burbank","J.R. Simplot Company",295472
"37","Livestock","Eltopia","Easterday Ranches",138864
"38","Livestock","Kennewick","Easterday Ranches",193327
"39","Livestock","Moses Lake","Agri Beef Co.",252189
"40","Livestock","Sunnyside","Horse Heaven Cattle Feeders, Inc.",109705
"41","Manufacturing","Auburn","The Boeing Company",367901
"42","Manufacturing","Camas","Linear Technology Corporation",235274
"43","Manufacturing","Camas","WaferTech LLC",1284436
"44","Manufacturing","Everett","The Boeing Company",726537
